filename,file_location,file_size,image_width,image_height,file_creation_date,file_extension,cryptographic_hash,perceptual_hash,perceptual_hash_rotation_15degrees_cw,perceptual_hash_rotation_15deg_ccw,perceptual_hash_shear_low_difference
28.JPG,C:\APPU SELVA\Pongal 2024\28.JPG,13598045.0,6000,4000,2024-12-21 12:20:47.469436,.jpg,98a1f9591112e76d9fb58e3951cfd88df85fdb1e09a8f4425210ed83d96f9d3a,0000002c3c5e7fff,0000000c3f3f6f78,00000070fcdcfe3e,0000002c7edefff8
29.jpg,C:\APPU SELVA\Pongal 2024\29.jpg,2760753.0,4096,2304,2024-12-21 12:20:47.563774,.jpg,8f77cfc92baa34fe4a45c48152a3f1df64564afae33fdd1bdecb5cc3cae02ca4,968216021c381f7f,062696941d3b1f1c,584617373e1c783e,82861600383b1f7c
3.JPG,C:\APPU SELVA\Pongal 2024\3.JPG,13517446.0,6000,4000,2024-12-21 12:20:45.021791,.jpg,6276a0ad22316a42d968272e4c1062390eec72d26902f57ef1f6659015121081,0b07e74703809c99,1b0f47e3520c0cd8,4865679783933e3a,0d47e753030c9998
30.jpg,C:\APPU SELVA\Pongal 2024\30.jpg,2693235.0,2304,4096,2024-12-21 12:20:47.597894,.jpg,f68b45dbc38e5ab4a6619548df1786a45881ebcb8bc718745e032deb2ae44aaa,10100111581fff03,2060023a3d0f7f30,0c0c00115afefe04,101000325a3ffe02
31.jpg,C:\APPU SELVA\Pongal 2024\31.jpg,2772638.0,2304,4096,2024-12-21 12:20:47.628590,.jpg,ef62aebd778641d5b4b0b325b2399dbd6a2639dc1a12d28998686f65129a3d17,10100111581fff03,20600232390f7f30,0c0c00115afefe04,101000325a3ffe02
32.jpg,C:\APPU SELVA\Pongal 2024\32.jpg,2674880.0,2304,4096,2024-12-21 12:20:47.665394,.jpg,48a9ad456774995a05b852a2435733927398f3fcd6c11f5126109ad2bd9a2502,1c1818001909ffff,703030011d2c3f3f,060e0c00191afcfc,181810021958fefe
33.jpg,C:\APPU SELVA\Pongal 2024\33.jpg,2770699.0,2304,4096,2024-12-21 12:20:47.688561,.jpg,b7f50326055974ee7c548be569753e6dc9bf2ade455aae43933f80bee292bece,1818180019091fff,703030011c2c0f3f,060c0c00191afafc,181810001958fefe
34.jpg,C:\APPU SELVA\Pongal 2024\34.jpg,2711625.0,2304,4096,2024-12-21 12:20:47.721730,.jpg,8349d8e168fbf916c728acee5a903603ac002ea0450bf286aac27c5ee1137afb,1818100019097fff,703030011d2c1f3f,060c0c00191afefc,181810001958fefe
35.jpg,C:\APPU SELVA\Pongal 2024\35.jpg,2400009.0,2304,4096,2024-12-21 12:20:47.751896,.jpg,9b3a6178006e7bb27a2efd02e92e982d201be2107868dfeac1bec0a67739ff79,000000209c1c1fff,0000202c3e8e0f3f,000010203c3cf8fc,0000202c1c1c3efe
36.jpg,C:\APPU SELVA\Pongal 2024\36.jpg,2103898.0,2304,4096,2024-12-21 12:20:44.770366,.jpg,bb16b9ae04b2d0bb17b54a75e952e45d5688c007b0ce767dbf2fd8d09c319fba,0000002c1c1c3fff,0000002c3c0e0f3f,000010303c38f8fc,000020183c3c3efe
4.JPG,C:\APPU SELVA\Pongal 2024\4.JPG,12799387.0,6000,4000,2024-12-21 12:20:45.132247,.jpg,b03a1f6ace2125637994bf8d888baa7d6f06a4009508c25dd9a3707837eff238,200d5e9b83d3dbc9,026e1fdbc199c848,3064dc9bd3d39313,200c5f9b93d3db80
5.JPG,C:\APPU SELVA\Pongal 2024\5.JPG,13322639.0,6000,4000,2024-12-21 12:20:45.241952,.jpg,16fd35a5f349b8f43e426b018dfc173c4a5a1af3795ca8004afdada18567bf8f,1c1e1f3e3c3c3800,1a3e1e3c3c3c3830,181c3f3f7f7c3800,1c1f1f3e3c783000
6.JPG,C:\APPU SELVA\Pongal 2024\6.JPG,13030288.0,6000,4000,2024-12-21 12:20:45.336124,.jpg,b3b186d5392a5f9aab008a8aa2df429d03d5df74c832409f4ea46f5bbace320f,3f1f3f3f3e380000,1e7e7f3e38383000,185e3f3f3f3a0000,3f3f3f3e38300000
7.JPG,C:\APPU SELVA\Pongal 2024\7.JPG,12866172.0,6000,4000,2024-12-21 12:20:45.435388,.jpg,e6b5a975d9202e29f616a567005ecd072ed91b889072f8837c35a7367e453070,1f1f3f3f38300000,1e3e3f3c38381000,181e3f3f3f3a0000,3f3f3f3e38300000
8.JPG,C:\APPU SELVA\Pongal 2024\8.JPG,13277446.0,6000,4000,2024-12-21 12:20:45.524150,.jpg,08038216cfea16d4058b881fbd7bba11791354469bcd8341bc7ba64fe2a090e9,000e3f7ffe7c3c00,060e3f3e7cfe7830,00107eff7f7e3c00,061f3f7ebc7c3000
9.JPG,C:\APPU SELVA\Pongal 2024\9.JPG,12961115.0,6000,4000,2024-12-21 12:20:45.634041,.jpg,4cddc673140c699fe4ed138c0e187ae1051f680b24e65c7717a16d16ce0c41a0,a080d8e4f0f08000,20001cc0f0f8f000,80c0e8faf4300000,8082d8f0f0f00000
